Play_no,yd_line,Down,Distance,Play,yds_gained
57,47,2,12,CORK,9
58,44,3,4,SNIPED,3
59,35,1,10,COLA,-10
60,45,1,20,RAT,10
62,35,3,10,RANDY,4
63,31,4,6,FLORIDA,15
64,16,1,10,WHEEL,16
66,-25,2,10,CARTEL,10
67,-25,1,10,SPICE,0
68,-35,2,10,CORK,7
69,-42,3,3,SNAIL,22
70,36,1,10,BACKPACK,-4
71,40,2,14,CRICKET,9
72,31,3,5,WAVE,14
73,17,1,10,CORK,-1
74,18,2,11,SWELL,-3
75,21,3,14,STOGIE,0
76,9,1,9,CORK,2
77,7,2,7,RAIDER,0
78,7,3,7,WAVE,0
79,-33,1,10,SNAIL,3
80,-36,2,7,WATER,5
81,-41,3,2,GATOR,0
82,-25,1,10,CRIPPLE,-10
83,-15,2,20,SNAIL,1
84,-16,3,19,BACKACHE,9
85,-25,4,10,WATER,0
1,-25,1,10,STARE,0
2,-25,2,10,BLAZERS,4
3,-29,3,6,FLORIDA,8
4,-37,1,10,GIANT,37
5,26,1,10,CORK,2
6,24,2,8,WIRE,-3
7,27,3,11,RAIDER,4
8,23,4,7,TEBOW,-15
10,-18,1,10,SPOCK,8
11,-26,2,2,SWAMP,5
12,-31,1,10,CORK,7
13,-38,2,3,CORK,9
14,-47,1,10,POLISH,13
15,40,1,10,COLA,0
16,40,2,10,CORK,6
17,34,3,4,CHESS,9
18,25,1,10,WHEEL,5
19,20,2,5,COLA,2
20,18,3,3,HURRICANE,0
21,18,4,3,CHESS,-2
22,-22,1,10,POLICE,-1
23,-21,2,11,BACKACHE,0
24,-21,3,11,BRUINS,-1
26,-25,1,10,CORK,3
27,-28,2,7,SPICE,6
28,-34,3,1,ROLL,0
29,-20,1,10,WOLF,8
30,-28,2,2,CHUMP,5
31,-33,1,10,CORK,4
32,-37,2,6,LARRY,0
33,-37,3,6,GATOR,7
34,-44,1,10,NARCOS,6
35,50,2,4,WAR,-1
36,-49,3,5,SPADE,8
37,43,1,10,CORK,-2
38,45,2,12,SWAMP,0
39,45,3,12,WEASEL,9
40,36,4,3,CHORE,10
41,26,1,10,GLOCK,-7
42,33,2,17,RANDY,-1
43,34,3,18,PICTURE,14
44,20,4,4,SPICE,10
45,10,1,10,BILLS,-4
46,14,2,14,WHEEL,-5
47,19,2,19,FLORIDA,0
48,19,3,19,POKE,-15
49,34,3,34,VERMONT,-6
50,-42,1,10,GLOVE,0
51,-42,2,10,RAT,10
52,48,1,10,DOVER,23
53,25,1,10,YANKEE,0
54,24,2,9,CHUMP,5
55,19,3,4,COLA,4
56,15,1,10,PENCIL,9
58,6,3,1,STEEL,-5
59,11,3,6,WILD,5
60,6,4,1,COLA,5
61,1,1,1,CORK,-1
62,2,2,2,PARROT,0
63,2,3,2,WHIRL,0
64,2,4,2,CRUSTER,0
1,-17,1,10,SABER,2
2,-19,2,8,DOLL,5
3,-24,3,3,SNAIL,-6
4,-28,1,10,YANKEE,0
5,-25,1,10,COLA,11
6,-36,1,10,SMASH,10
7,-46,1,10,CORK,0
8,-46,2,10,DOLL,4
9,50,3,6,CHINA,16
10,34,1,10,DQ,0
12,34,3,10,CARTEL,2
15,37,4,13,GIANT,14
16,23,1,10,DOOR,1
17,22,2,9,SLICE,22
18,-31,1,10,STEEL,2
19,-33,2,8,DOLL,2
20,-35,3,6,CAVE,10
21,-45,1,10,DOLL,2
22,-47,2,8,WOLF,0
24,-47,3,8,FLORIDA,0
25,-21,1,10,STOGIE,3
27,-19,2,12,WEASEL,-1
28,-18,3,13,DOVER,-5
29,-13,1,10,POKE,12
30,-25,1,10,BENTLEY,-5
31,-20,1,15,DOLL,2
32,-22,2,13,SWAMP,10
33,-32,3,3,CORK,4
34,-36,1,10,DOOR,5
35,-41,2,5,POLISH,0
36,-41,3,5,CRIPPLE,-2
37,-15,1,10,BLAZERS,3
38,-18,2,7,GIANT,-1
39,-18,3,7,WAVE,0
40,-32,1,10,COLA,7
41,-39,2,3,HUGO,0
42,-39,3,3,CORK,-5
43,-34,3,8,YANKEE,1
44,-23,1,10,DOLL,2
45,-25,2,8,CORK,10
46,-35,1,10,COLA,6
1,-20,1,10,WILD,5
2,-25,2,5,YANKEE,11
3,-36,1,10,WOLF,2
5,-43,2,3,FLORIDA,0
6,-43,3,3,DOLL,5
7,-48,1,10,CORK,7
8,45,2,3,DOOR,-1
9,46,3,4,ROCK,4
10,42,1,10,PRESLEY,3
11,39,2,7,ITALIAN,14
12,25,1,10,PELICAN,-1
13,26,2,11,WIRE,5
14,21,3,6,SPICE,10
15,11,1,10,WIRE,7
16,4,2,3,DOLL,2
17,2,3,1,DOOR,2
18,-43,1,10,CORK,3
19,-46,2,7,CARTEL,3
20,-49,3,4,CORK,2
21,49,4,2,CORK,49
22,3,0,3,PUCK,0
23,-26,1,10,DOOR,6
24,-32,2,4,GLORY,-5
25,-27,2,9,ROBBER,8
26,-35,3,1,DOOR,2
27,-37,1,10,GLORY,15
28,48,1,10,WIRE,7
29,41,2,3,WOLF,12
30,29,1,10,ELVIS,3
31,26,2,7,WHEEL,11
32,15,1,10,POPSICLE,-2
33,17,2,12,WOLF,2
34,15,3,10,WEASEL,2
35,-2,1,10,DOOR,0
36,-2,2,10,SNIPED,1
38,-8,3,4,CROSS,0
39,-24,1,10,SHAPE,16
40,-40,1,10,VIBE,11
41,49,1,10,LARRY,14
42,35,1,10,STOGIE,9
43,26,2,1,TEBOW,-11
44,37,3,12,DOVER,-5
45,42,4,17,BIG BEN,0
46,-23,1,10,CORK,-1
47,-22,2,11,VIBE,0
48,-22,3,11,WAVE,-4
49,-16,1,10,ROLL,8
50,-24,2,2,GULLS,3
51,-27,1,10,CORK,5
52,-32,1,5,ROBBER,5
53,-37,1,10,COLA,3
54,-40,2,7,WHEEL,3
55,-43,3,4,SPICE,11
56,46,1,10,GULLS,-1
57,47,2,11,DOVER,-10
58,-43,2,21,GLOCK,0
59,-43,3,21,POLICE,5
60,-25,1,10,WEASEL,0
61,-25,2,10,WIRE,9
62,-34,3,1,COLA,6
63,-40,1,10,COLA,-3
64,48,1,10,GLOVE,-4
65,-48,2,14,BLAZERS,3
66,49,3,11,INDIGO,20
67,29,1,10,PINWHEEL,-9
68,38,2,19,RAT,9
69,29,3,10,RANDY,4
70,24,4,5,FLORIDA,14
71,10,1,10,WOLF,3
72,7,2,7,ROLL,0
73,7,3,7,CRICKET,7
74,-20,1,10,DOLL,3
75,-23,2,7,DOLL,5
76,-28,3,2,DOLL,-1
1,-43,1,10,DOOR,0
2,-43,2,10,COLA,10
3,47,1,10,DRUMS,0
4,47,2,10,CORK,1
5,46,3,9,SNIPED,0
6,-20,1,10,ROBBER,-1
7,-19,2,11,WOLF,2
8,-21,3,9,INDIGO,18
9,-39,1,10,ROLL,10
10,-49,1,10,CORK,8
11,43,2,2,WOLF,-2
12,45,3,4,COLA,6
13,39,1,10,CORK,5
14,34,2,5,OSCAR,16
15,18,1,10,WIRE,8
16,10,2,2,COLA,-1
18,11,3,3,HURRICANE,3
19,8,4,1,COLA,2
20,7,1,7,WIRE,-3
22,10,3,10,CRIPPLE,5
23,5,1,5,SABER,2
24,3,2,3,DOOR,3
25,-18,1,10,CORK,6
26,-24,2,4,ARMOR,0
27,-24,3,4,CHORE,0
28,-24,1,10,POLISH,76
29,-46,1,10,CRIPPLE,0
30,-46,2,10,RACE,-2
31,-44,3,12,TIDAL,10
32,46,1,10,CORK,4
33,42,2,6,CORK,10
34,32,1,10,WHEEL,11
35,21,1,10,WIRE,-10
37,41,1,30,STOGIE,0
38,41,1,30,STOGIE,0
39,41,2,30,RANDY,6
40,35,3,24,SWAMP,0
41,46,1,10,CORK,4
42,42,2,6,ROLL,8
43,34,1,10,COLA,2
44,32,2,8,CORK,4
45,28,3,4,PITT,2
46,26,4,2,DOLL,22
47,4,1,4,DOOR,4
48,-25,1,10,CORK,2
49,-27,2,8,WIRE,0
50,-27,3,8,POKE,0
